index,SAVSNET_consult_id,Narrative,SAVSNET MPC,Consult_date,Species
16,2298369,"""Has vomitted the last 3 meals around half hr after eating otherwise fine.Still active and palyfull.Going out as usual.Normally eating wiskas after vomiting breakfast and dinner and following breackast,owner has given some gastriintestinal pounch from previous occasion and keeping until now. On examination some weight lost.No skin tenting.Mouth with remaining teeth with tartare No bad breath.Auscultation nad.Abdomen comfortable,No foreigh body palapated or posssible obstructions.T:38.1. Owner reports that can have the occasional sikness when having a furball... Could related with furball or because eating to fast or due to diet.... At the moment going to continue with gastrointestinal for 2-3 meals and then reintroduce normal meals. Recheck if not improvement.""",gastroenteric,2016-10-13 13:59:32,cat
21,2527805,"""<<identifier>> leaving spots of blood. The only cause I can find is ear mites despite endectid. Cleaned out and put on canaural.  Next appointment in 10 days.""",other_unwell,2016-12-06 16:58:02,cat
24,4630723,"""2nd vac. HR 180. MM pink. XCRT < 1 sec. BCS 5/9. T38.5. History: No reported concerns. Examination: Unremarkable. Plan: 2nd vac given. Cont stronghold. Weigh in 1 month before next dispensed. Rx spay/chip from 4 months.""",vaccination,2018-06-20 09:18:39,cat
28,1141259,"""Severe flea infestation. Lots of mats - booked with nurses to shave. In good form. V few teeth remaining. HR ~200, occ gallop rhythm? NAD on abdo palp. BCS 5/9. Discussed treatment of environment etc, O has flea spray (acclaim). OK for flea and worm treatment for 12mths.""",pruritus,2016-02-02 16:26:03,cat
31,6424965,"Presenting for AHC and booster. No concerns since last seen. GHC MM P+M, oral exam ok. Cardiac/thoracic ok. abdo palp NAD lns all ok. a: fit to vaccination. P: tricat/felv SQ. f/w to go home.",vaccination,2019-07-23 13:03:21,cat
36,3851951,"""Long standing skin issues since o found him several years ago. seems worse during the summer months, pruritic ++. On exam marked thinning of hair on temples and ears, slightly greasy coat, but with dry scale on skin. ? atopy. Trial Depo and recommend Yumega. Discussed scrapes and plucks.""",pruritus,2017-11-08 10:03:57,cat
45,2863082,"""Asked to express anal sacs - right side full, left side empty.""",other_healthy,2017-03-03 15:46:57,cat
48,4977133,"""O'S DOG HAS GOT FLEAS. o brought the cat in as she has got few fleas too. under chin thereare scabs. advise o to use antifleas spay for house.""",respiratory,2018-08-30 13:28:42,cat
52,6798520,"new kitten, 7 weeks, settled in well. bright, alert and responsive, defecating, urinating, drinking, eating.  nothing abnormal detected on clinical exam.  see back in week or so for vaccinations, microchipped today as worried would get out. too small for stronghold so milbeworm kitten given.  hpc discussed, kitten pack given.",other_healthy,2019-10-11 14:42:51,cat
54,277705,"""improving, r ear blocked with yellowish thick material, l ear cleaned out and canv isulaise ear drum, so drops for this ear, still lots of black material in both ears. antibiotics for infection in r ear.""",other_unwell,2014-12-10 16:54:26,cat
